rating,year,img,name,link,location,type,lat,lng
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/dd6fd0cd58de4aba87ca144697769d7c?width=500&amp;sharp=1,Cornerstone,https://guide.michelin.com//en/greater-london/london/restaurant/cornerstone,London,Seafood,51.5441399,-0.0255191
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/76c44d29733644618e8cc5493696b842?width=500&amp;sharp=1,The Glasshouse,https://guide.michelin.com//en/greater-london/london/restaurant/the-glasshouse,London,Modern Cuisine,51.4770687,-0.2857459
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c2ea7127a3ec43be85a0601954adaf5f?width=500&amp;sharp=1,Marcus,https://guide.michelin.com//en/greater-london/london/restaurant/marcus,London,Modern Cuisine,51.5018508,-0.1560845
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/85cfb2246c54457b96af30eacff1d022?width=500&amp;sharp=1,SO|LA,https://guide.michelin.com//en/greater-london/london/restaurant/so-la,London,"Californian, Californian",51.513158,-0.1322606
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/10ceb36759ab4215ad99f230b6c91824?width=500&amp;sharp=1,Barrafina,https://guide.michelin.com//en/greater-london/london/restaurant/barrafina,London,Spanish,51.5140705,-0.1326712
2,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/91c5170488b844239aa6b2a212416aeb?width=500&amp;sharp=1,Claude Bosi at Bibendum,https://guide.michelin.com//en/greater-london/london/restaurant/claude-bosi-at-bibendum,London,French,51.4933623,-0.1688013
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/47d0405776db43ef8b1adadacb150923?width=500&amp;sharp=1,HIDE,https://guide.michelin.com//en/greater-london/london/restaurant/hide,London,Modern British,51.5061646,-0.1443833
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/25d662ad3797461e843e9253a41ed90e?width=500&amp;sharp=1,Lyle's,https://guide.michelin.com//en/greater-london/london/restaurant/lyle-s,London,Modern British,51.5237344,-0.0764375
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/1b0a3a3bd885458d82061836c26d1d6c?width=500&amp;sharp=1,The Cross at Kenilworth,https://guide.michelin.com//en/warwickshire/kenilworth/restaurant/the-cross-at-kenilworth,Kenilworth,"British Contemporary, British Contemporary",52.3503568,-1.5796992
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5ebc6dcefe6d462090f0bbd243ef34d3?width=500&amp;sharp=1,Elystan Street,https://guide.michelin.com//en/greater-london/london/restaurant/elystan-street,London,Modern British,51.4916238,-0.1677604
